pagamento_id,cliente_id,produto_id,data_pagamento,valor_pago,valor_juros,atraso_dias
1,303,706,2024-11-01,449.36,185.74,30
2,406,502,2024-05-08,1392.27,114.21,0
3,203,141,2024-11-05,207.74,26.65,0
4,417,620,2025-06-24,1171.23,195.5,0
5,416,815,2023-09-16,500.2,175.33,0
6,448,777,2025-03-03,1902.81,42.74,0
7,85,447,2023-12-14,737.53,273.58,0
8,167,290,2024-03-10,717.92,67.7,0
9,384,209,2024-01-04,1854.43,225.62,0
10,468,475,2024-10-24,892.96,266.67,0
11,72,413,2025-05-27,1929.44,178.05,0
12,298,677,2024-08-06,145.92,81.59,0
13,485,427,2025-06-23,682.05,99.68,0
14,9,854,2024-02-15,1365.77,266.87,5
15,281,371,2025-05-04,1792.63,96.49,0
16,473,832,2025-02-07,587.17,226.4,0
17,481,664,2024-01-21,1867.91,297.15,0
18,258,967,2023-12-31,1228.83,299.95,0
19,275,290,2024-07-05,1621.92,164.71,0
20,238,432,2024-11-28,854.69,249.7,0
21,20,268,2024-02-06,503.14,297.17,0
22,490,151,2023-09-30,1831.35,118.66,0
23,233,719,2025-02-11,1872.96,83.2,0
24,490,255,2024-02-11,1045.39,43.13,0
25,221,353,2023-11-28,112.34,50.86,0
26,326,377,2025-03-27,308.59,257.53,0
27,17,653,2024-05-27,1188.75,180.73,0
28,380,855,2024-07-24,145.18,263.38,0
29,89,358,2024-03-25,854.13,238.94,0
30,486,608,2024-11-03,676.4,205.39,0
31,196,941,2024-10-08,1457.26,186.7,0
32,350,370,2025-03-10,205.6,24.02,5
33,84,227,2023-12-02,1028.59,262.96,0
34,387,705,2025-02-03,1200.32,131.17,0
35,87,303,2023-08-21,1272.85,172.34,0
36,307,826,2024-09-27,869.8,16.37,0
37,338,389,2025-07-18,678.3,281.46,0
38,154,377,2025-01-30,1396.74,271.79,15
39,440,973,2025-04-15,1710.38,167.55,0
40,228,118,2025-03-21,1417.87,177.42,0
41,448,5,2024-05-26,1870.99,214.45,0
42,264,444,2024-07-19,1462.8,86.76,5
43,465,352,2024-05-29,1552.78,74.36,5
44,223,755,2024-12-17,419.02,205.47,0
45,421,533,2024-06-17,897.13,40.28,10
